,date,state,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_adult_covid_confirmed_18_19,previous_day_admission_adult_covid_confirmed_20_29,previous_day_admission_adult_covid_confirmed_30_39,previous_day_admission_adult_covid_confirmed_40_49,previous_day_admission_adult_covid_confirmed_50_59,previous_day_admission_adult_covid_confirmed_60_69,previous_day_admission_adult_covid_confirmed_70_79,previous_day_admission_adult_covid_confirmed_80
0,2020-12-22,ID,,,,0.0,3.0,4.0,3.0,12.0,16.0,11.0,7.0
1,2020-10-16,VT,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-10-14,AR,,,,1.0,2.0,5.0,7.0,19.0,20.0,20.0,21.0
3,2020-10-13,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-10-12,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-10-09,VT,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-10-07,VT,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-10-04,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-10-03,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-09-30,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-09-29,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-09-28,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-09-22,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-09-22,VT,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-09-21,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-09-10,RI,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
16,2020-09-09,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-09-08,AK,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,2020-09-02,VT,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-08-29,VT,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,2020-08-28,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21,2020-08-27,DE,,,,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
22,2020-08-25,VI,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
23,2020-08-24,VI,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,2020-08-23,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,2020-08-22,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-08-21,NE,,,,0.0,0.0,2.0,0.0,2.0,2.0,7.0,9.0
27,2020-08-20,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-08-18,DE,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
29,2020-08-17,NH,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-08-15,VI,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2020-08-08,VT,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-08-02,VT,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,2020-07-31,VI,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-07-29,ND,,,,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0
35,2020-07-28,NE,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,2020-07-26,PR,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-07-24,IA,,,,0.0,4.0,7.0,6.0,13.0,19.0,13.0,15.0
38,2020-07-23,DE,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,2020-07-22,ND,,,,,,,,,,,
40,2020-07-19,VI,,,,,,,,,,,
41,2020-07-15,ND,,,,,,,,,,,
42,2020-07-15,SD,,,,,,,,,,,
43,2020-07-10,IA,,,,,,,,,,,
44,2020-07-05,MT,,,,,,,,,,,
45,2020-07-01,NJ,,,,,,,,,,,
46,2020-06-22,MD,,,,,,,,,,,
47,2020-06-16,MT,,,,,,,,,,,
48,2020-06-14,MD,,,,,,,,,,,
49,2020-06-13,PA,,,,,,,,,,,
50,2020-06-04,MN,,,,,,,,,,,
51,2020-05-05,MN,,,,,,,,,,,
52,2020-04-25,MA,,,,,,,,,,,
53,2020-03-28,VA,,,,,,,,,,,
54,2020-03-27,NJ,,,,,,,,,,,
55,2020-03-24,NJ,,,,,,,,,,,
56,2020-03-23,VT,,,,,,,,,,,
57,2020-03-21,VT,,,,,,,,,,,
58,2020-03-15,UT,,,,,,,,,,,
59,2020-03-08,WI,,,,,,,,,,,
60,2020-03-06,NJ,,,,,,,,,,,
61,2020-02-19,AL,,,,,,,,,,,
62,2020-02-07,AL,,,,,,,,,,,
63,2020-01-27,AL,,,,,,,,,,,
64,2020-01-03,MN,,,,,,,,,,,
65,2020-01-01,NC,,,,,,,,,,,
66,2022-02-01,VI,0.0,,,0.0,,,,,,,
67,2022-01-31,AS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2022-01-31,VI,0.0,,,0.0,,,,,,,
69,2022-01-30,AS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2022-01-30,VI,0.0,,,0.0,,,,,,,
71,2022-01-28,AS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2022-01-27,VI,0.0,,,0.0,,,,,,,1.0
73,2022-01-26,VI,0.0,,,0.0,,,1.0,,,,
74,2022-01-25,VI,0.0,,,0.0,,,1.0,,,,
75,2022-01-24,AS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2022-01-24,VI,0.0,,,0.0,,,1.0,,,,
77,2022-01-23,AS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2022-01-22,VI,0.0,,,0.0,,,,,1.0,,
79,2022-01-21,VI,0.0,,,0.0,,,,,4.0,1.0,
